,count,mean,std,min,25%,50%,75%,max
unit_price_w,2198.0,13.645842247952707,4.336646008959735,1.744,10.04387475,11.033755,18.28684875,30.5802
area,2198.0,38.23947309736126,434.7697437984847,4.24,23.098505,26.0321865,30.0417785,20399.73
age,2198.0,22.029384836214735,4.832954965305296,0.0,18.410117,22.0,25.5,44.0
shifting_area,2198.0,136.35077944313022,34.15582635762918,62.345,121.03629475,131.464393,143.36125525,690.156562
pattern_room,2198.0,2.5538896442220183,0.35546322357096144,0.0,2.37931,2.551724,2.714286,13.0
pattern_hall,2198.0,1.6213920923566854,0.15188344148091515,0.0,1.5352665,1.625,1.710526,2.946429
pattern_health,2198.0,1.5938548635122807,0.284795854739219,0.0,1.4829025,1.5803225,1.681818,12.0
building_area,2198.0,85.61092113557791,21.869105777283504,27.49,76.47770275,82.03947249999999,88.49753925,466.879375
mrtstation,2198.0,0.1710646041856233,0.6462946130219382,0.0,0.0,0.0,0.0,8.0
busstation,2198.0,29.256596906278435,23.284366238454353,0.0,13.0,26.0,42.0,171.0
tymetrostation,2198.0,0.00272975432211101,0.052187564260853955,0.0,0.0,0.0,0.0,1.0
store,2198.0,1.7111010009099181,2.218344211414786,0.0,1.0,1.0,2.0,60.0
simplemart,2198.0,0.17879890809827115,0.3949683699402303,0.0,0.0,0.0,0.0,2.0
pxmart,2198.0,0.12966333030027297,0.3427153020692037,0.0,0.0,0.0,0.0,2.0
carrefour,2198.0,0.07506824385805277,0.2686923947331685,0.0,0.0,0.0,0.0,2.0
costco,2198.0,0.0022747952684258415,0.047651375943818075,0.0,0.0,0.0,0.0,1.0
rtmart,2198.0,0.003639672429481347,0.06736770822372812,0.0,0.0,0.0,0.0,2.0
pharmarcy,2198.0,0.8808007279344859,1.2145322812254482,0.0,0.0,0.0,1.0,9.0
policestation,2198.0,0.12420382165605096,0.3858514791870679,0.0,0.0,0.0,0.0,3.0
firestation,2198.0,0.06869881710646042,0.30962887516415344,0.0,0.0,0.0,0.0,3.0
hospital,2198.0,2.8212010919017287,3.2933314249984957,0.0,0.0,2.0,4.0,25.0
school,2198.0,1.1091901728844404,1.5154783797183147,0.0,0.0,1.0,2.0,14.0
incinerator,2198.0,0.0022747952684258415,0.047651375943817895,0.0,0.0,0.0,0.0,1.0
cleaningteam,2198.0,0.01592356687898089,0.1252083837181674,0.0,0.0,0.0,0.0,1.0
cleaninginstitution,2198.0,0.707916287534122,1.071941618384953,0.0,0.0,0.0,1.0,9.0
recyclablesdepot,2198.0,0.07506824385805277,0.3430921400314972,0.0,0.0,0.0,0.0,5.0
radio,2198.0,0.02456778889899909,0.34970130918229303,0.0,0.0,0.0,0.0,13.0
nuclear_powerplant,2198.0,0.00272975432211101,0.07385484870553762,0.0,0.0,0.0,0.0,2.0
gas_station,2198.0,0.10236578707916287,0.39337232146996676,0.0,0.0,0.0,0.0,7.0
funeralfacilities,2198.0,0.026387625113739762,0.2651589965763232,0.0,0.0,0.0,0.0,6.0
temple,2198.0,0.5418562329390355,1.4890969587803569,0.0,0.0,0.0,1.0,17.0
ancestralhall,2198.0,0.014103730664240218,0.11794551473754526,0.0,0.0,0.0,0.0,1.0
wastewater,2198.0,0.00045495905368516835,0.021329769189683094,0.0,0.0,0.0,0.0,1.0
lpg,2198.0,0.010009099181073703,0.24491162128105437,0.0,0.0,0.0,0.0,11.0
